"x","y","z"
-28.2768230438232,-3.81482791900635,-15.1007375717163
-24.4574680328369,-3.94093108177185,-11.9903812408447
-23.9362373352051,-5.72821283340454,-11.7062892913818
-20.3387603759766,-8.11044406890869,-13.9634199142456
-20.3583354949951,-6.95141315460205,-13.5363187789917
-16.9567928314209,-8.12258815765381,-16.3501720428467
-16.063648223877,-6.98421478271484,-16.5998401641846
-15.1704864501953,-6.02933597564697,-15.698616027832
-18.5683765411377,-0.2831189930439,-18.2832527160645
-19.3934955596924,2.35049700737,-20.6115283966064
-17.3564605712891,-0.300915002822876,-21.8485012054443
-19.4985523223877,1.78584396839142,-22.4719276428223
-25.8702011108398,2.85584497451782,-18.4460182189941
-23.7900161743164,0.473401010036469,-17.171199798584
-26.0877113342285,-0.923703014850616,-15.8410692214966
-29.4645881652832,-1.14871501922607,-17.1686954498291
-22.5588455200195,3.45244288444519,-20.8496322631836
-30.8251171112061,3.12842893600464,-22.0059375762939
-22.0519237518311,3.12649893760681,-22.0997562408447
-29.943000793457,3.53769207000732,-20.7206535339355
-30.9094848632812,2.96498107910156,-19.2766017913818
-31.527135848999,1.73069798946381,-20.3977355957031
-30.8970317840576,2.10097408294678,-22.3864116668701
-29.9027347564697,-1.71968305110931,-22.5011405944824
-17.3435192108154,-2.80626606941223,-22.4311294555664
-32.0116500854492,-3.07189106941223,-22.2643527984619
-16.0874576568604,-4.88087701797485,-20.721227645874
-30.9787540435791,0.0846299976110458,-21.4391937255859
-31.4558696746826,-1.51589095592499,-22.1094741821289
-33.4081840515137,-3.06945395469666,-20.5706882476807
-32.2944297790527,-2.37373995780945,-18.5082378387451
-31.4904880523682,-1.07956898212433,-21.2320709228516
-15.4626264572144,-0.990060985088348,-21.5513515472412
-32.8431053161621,-4.02793121337891,-21.1813774108887
-31.2711696624756,-5.89161777496338,-19.3560562133789
-14.7180862426758,-0.860947012901306,-20.39919090271
-16.9656753540039,-0.654078006744385,-16.1234703063965
-24.0952548980713,-1.28226900100708,-15.3296184539795
-22.8624935150146,-3.10632610321045,-13.3989152908325
-20.135929107666,0.674601972103119,-18.170015335083
-20.881799697876,-8.87750244140625,-15.4126291275024
-19.85329246521,-9.50764656066895,-17.8040180206299
-25.272253036499,-9.23382186889648,-16.0972671508789
-23.2063674926758,-7.44112300872803,-13.5554962158203
-18.9909687042236,-9.07235908508301,-19.1496105194092
-25.6147880554199,-9.46216773986816,-18.7036018371582
-15.779634475708,-8.07437038421631,-18.4922752380371
-14.2998151779175,-6.02436685562134,-18.7958393096924
-14.576057434082,-4.3681788444519,-19.6076679229736
-20.2209072113037,-0.139828994870186,-16.4152507781982
-23.1646366119385,3.04511189460754,-19.754077911377
-14.5646905899048,-4.53472805023193,-16.1448955535889
-14.792555809021,-2.08878397941589,-17.1478729248047
-15.9608535766602,-2.48109602928162,-15.3114786148071
-16.1837921142578,-4.78238391876221,-14.2324352264404
-21.0386486053467,-3.91481804847717,-10.9845113754272
-20.7320022583008,-4.89741611480713,-10.8452672958374
-18.5341396331787,-5.10568904876709,-12.5790529251099
-20.2618560791016,-6.06239700317383,-11.7661094665527
-18.5116405487061,-3.73108291625977,-13.1402721405029
-22.4231052398682,-4.9950270652771,-29.0724906921387
-21.6613082885742,-3.97322297096252,-29.9766864776611
-28.5277194976807,-4.21921300888062,-29.1002502441406
-26.7994728088379,-6.23924779891968,-27.584300994873
-17.1747875213623,-4.94435214996338,-20.7298603057861
-17.9277801513672,-2.8150908946991,-22.479772567749
-16.897159576416,-3.69606304168701,-22.6674365997314
-19.0546607971191,-7.10266494750977,-20.9717197418213
-16.3511581420898,-6.71426916122437,-21.0988330841064
-19.1005725860596,-6.77381086349487,-22.3209686279297
-26.2084407806396,-3.44019508361816,-30.4505996704102
-22.5785369873047,-2.55775189399719,-30.4058475494385
-26.1625366210938,-1.72189497947693,-30.1792144775391
-30.1808643341064,2.96271300315857,-22.6998405456543
